Id_pedido,Id_venta,Id_mesa,Id_platillo,Cantidad_platillo,Subtotal
1,1,17,17,3,9000
2,1,17,1,1,10500
3,2,10,14,3,22500
4,2,10,18,1,16000
5,3,24,11,1,11500
6,3,24,19,2,36000
7,4,19,10,2,23000
8,4,19,16,1,4000
9,5,15,5,2,27000
10,5,15,13,1,9900
11,6,3,20,3,37500
12,6,3,7,1,8900
13,7,1,10,2,23000
14,7,1,14,1,7500
15,8,22,1,1,10500
16,8,22,8,2,18400
17,9,18,16,2,8000
18,9,18,2,3,10500
19,10,15,10,2,23000
20,10,15,11,1,11500
21,11,11,1,1,10500
22,11,11,12,1,14000
23,12,17,17,3,9000
24,12,17,1,1,10500
25,13,10,14,3,22500
26,13,10,18,1,16000
27,14,24,11,1,11500
28,14,24,19,2,36000
29,15,19,10,2,23000
30,15,19,16,1,4000
31,16,15,5,2,27000
32,16,15,13,1,9900
33,17,3,20,3,37500
34,17,3,7,1,8900
35,18,1,10,2,23000
36,18,1,14,1,7500
37,19,22,1,1,10500
38,19,22,8,2,18400
39,20,18,16,2,8000
40,20,18,2,3,10500
41,21,15,10,2,23000
42,21,15,11,1,11500
43,22,11,1,1,10500
44,22,11,12,1,14000
45,23,17,17,3,9000
46,23,17,1,1,10500
47,24,10,14,3,22500
48,24,10,18,1,16000
49,25,24,11,1,11500
50,25,24,19,2,36000
51,26,19,10,2,23000
52,26,19,16,1,4000
53,27,15,5,2,27000
54,27,15,13,1,9900
55,28,3,20,3,37500
56,28,3,7,1,8900
57,29,1,10,2,23000
58,29,1,14,1,7500
59,30,22,1,1,10500
60,30,22,8,2,18400
61,31,18,16,2,8000
62,31,18,2,3,10500
63,32,15,10,2,23000
64,32,15,11,1,11500
65,33,11,1,1,10500
66,33,11,12,1,14000
67,34,17,17,3,9000
68,34,17,1,1,10500
69,35,10,14,3,22500
70,35,10,18,1,16000
71,36,24,11,1,11500
72,36,24,19,2,36000
73,37,19,10,2,23000
74,37,19,16,1,4000
75,38,15,5,2,27000
76,38,15,13,1,9900
77,39,3,20,3,37500
78,39,3,7,1,8900
79,40,1,10,2,23000
80,40,1,14,1,7500
81,41,22,1,1,10500
82,41,22,8,2,18400
83,42,18,16,2,8000
84,42,18,2,3,10500
85,43,15,10,2,23000
86,43,15,11,1,11500
87,44,11,1,1,10500
88,44,11,12,1,14000
89,45,17,17,3,9000
90,45,17,1,1,10500
91,46,10,14,3,22500
92,46,10,18,1,16000
93,47,24,11,1,11500
94,47,24,19,2,36000
95,48,19,10,2,23000
96,48,19,16,1,4000
97,49,15,5,2,27000
98,49,15,13,1,9900
99,50,3,20,3,37500
100,50,3,7,1,8900
101,51,1,10,2,23000
102,51,1,14,1,7500
103,52,22,1,1,10500
104,52,22,8,2,18400
105,53,18,16,2,8000
106,53,18,2,3,10500
107,54,15,10,2,23000
108,54,15,11,1,11500
109,55,11,1,1,10500
110,55,11,12,1,14000
111,56,17,17,3,9000
112,56,17,1,1,10500
113,57,10,14,3,22500
114,57,10,18,1,16000
115,58,24,11,1,11500
116,58,24,19,2,36000
117,59,19,10,2,23000
118,59,16,1,4000
119,60,15,5,2,27000
120,60,15,13,1,9900
121,61,3,20,3,37500
122,61,3,7,1,8900
123,62,1,10,2,23000
124,62,1,14,1,7500
125,63,22,1,1,10500
126,63,22,8,2,18400
127,64,18,16,2,8000
128,64,18,2,3,10500
129,65,15,10,2,23000
130,65,15,11,1,11500
131,66,11,1,1,10500
132,66,11,12,1,14000
133,67,17,17,3,9000
134,67,17,1,1,10500
135,68,10,14,3,22500
136,68,10,18,1,16000
137,69,24,11,1,11500
138,69,24,19,2,36000
139,70,19,10,2,23000
140,70,19,16,1,4000
141,71,15,5,2,27000
142,71,15,13,1,9900
143,72,3,20,3,37500
144,72,3,7,1,8900
145,73,1,10,2,23000
146,73,1,14,1,7500
147,74,22,1,1,10500
148,74,22,8,2,18400
149,75,18,16,2,8000
150,75,18,2,3,10500
151,76,15,10,2,23000
152,76,15,11,1,11500
