Id_ventas,Id_metodo,Id_garzon,Fecha,Propina,Total_venta
1,3,10,2024-04-06 19:45:00,1950,19500
2,4,4,2024-04-20 21:15:00,3850,38500
3,3,1,2024-03-24 18:30:00,4750,47500
4,2,7,2024-01-20 21:45:00,2700,27000
5,3,9,2024-05-19 20:00:00,3690,36900
6,2,4,2024-03-21 20:30:00,4640,46400
7,4,6,2024-06-03 19:15:00,3050,30500
8,1,10,2024-01-25 22:30:00,2890,28900
9,2,7,2024-04-18 19:45:00,1850,18500
10,1,10,2024-02-18 21:15:00,3450,34500
11,3,1,2024-05-10 19:30:00,2450,24500
12,3,10,2024-06-05 19:45:00,1950,19500
13,4,4,2024-06-25 21:15:00,3850,38500
14,3,1,2024-05-19 18:30:00,4750,47500
15,2,7,2024-02-27 21:45:00,2700,27000
16,3,9,2024-06-18 20:00:00,3690,36900
17,2,4,2024-05-27 20:30:00,4640,46400
18,4,6,2024-06-16 19:15:00,3050,30500
19,1,10,2024-02-10 22:30:00,2890,28900
20,2,7,2024-05-26 19:45:00,1850,18500
21,1,10,2024-03-01 21:15:00,3450,34500
22,3,1,2024-06-10 19:30:00,2450,24500
23,3,10,2024-06-11 19:45:00,1950,19500
24,4,4,2024-06-18 21:15:00,3850,38500
25,3,1,2024-06-25 18:30:00,4750,47500
26,2,7,2024-06-04 21:45:00,2700,27000
27,3,9,2024-06-26 20:00:00,3690,36900
28,2,4,2024-06-18 20:30:00,4640,46400
29,4,6,2024-06-08 19:15:00,3050,30500
30,1,10,2024-06-02 22:30:00,2890,28900
31,2,7,2024-06-19 19:45:00,1850,18500
32,1,10,2024-06-09 21:15:00,3450,34500
33,3,1,2024-06-24 19:30:00,2450,24500
34,3,10,2024-06-01 19:45:00,1950,19500
35,4,4,2024-06-29 21:15:00,3850,38500
36,3,1,2024-06-14 18:30:00,4750,47500
37,2,7,2024-06-15 21:45:00,2700,27000
38,3,9,2024-06-28 20:00:00,3690,36900
39,2,4,2024-06-06 20:30:00,4640,46400
40,4,6,2024-06-20 19:15:00,3050,30500
41,1,10,2024-06-12 22:30:00,2890,28900
42,2,7,2024-06-23 19:45:00,1850,18500
43,1,10,2024-06-07 21:15:00,3450,34500
44,3,1,2024-06-21 19:30:00,2450,24500
45,3,10,2024-06-30 19:45:00,1950,19500
46,4,4,2024-06-13 21:15:00,3850,38500
47,3,1,2024-06-22 18:30:00,4750,47500
48,2,7,2024-06-27 21:45:00,2700,27000
49,3,9,2024-06-05 20:00:00,3690,36900
50,2,4,2024-06-01 20:30:00,4640,46400
51,4,6,2024-06-10 19:15:00,3050,30500
52,1,10,2024-06-19 22:30:00,2890,28900
53,2,7,2024-06-08 19:45:00,1850,18500
54,1,10,2024-06-02 21:15:00,3450,34500
55,3,1,2024-06-15 19:30:00,2450,24500
56,3,10,2024-06-28 19:45:00,1950,19500
57,4,4,2024-06-06 21:15:00,3850,38500
58,3,1,2024-06-20 18:30:00,4750,47500
59,2,7,2024-06-12 21:45:00,2700,27000
60,3,9,2024-06-23 20:00:00,3690,36900
61,2,4,2024-06-09 20:30:00,4640,46400
62,4,6,2024-06-27 19:15:00,3050,30500
63,1,10,2024-06-03 22:30:00,2890,28900
64,2,7,2024-06-16 19:45:00,1850,18500
65,1,10,2024-06-29 21:15:00,3450,34500
66,3,1,2024-06-07 19:30:00,2450,24500
67,3,10,2024-06-21 19:45:00,1950,19500
68,4,4,2024-06-30 21:15:00,3850,38500
69,3,1,2024-06-13 18:30:00,4750,47500
70,2,7,2024-06-22 21:45:00,2700,27000
71,3,9,2024-06-25 20:00:00,3690,36900
72,2,4,2024-06-04 20:30:00,4640,46400
73,4,6,2024-06-18 19:15:00,3050,30500
74,1,10,2024-06-11 22:30:00,2890,28900
75,2,7,2024-06-24 19:45:00,1850,18500
76,1,10,2024-06-08 21:15:00,3450,34500
77,3,1,2024-06-26 19:30:00,2450,24500
78,3,10,2024-06-09 19:45:00,1950,19500
79,4,4,2024-06-27 21:15:00,3850,38500
80,3,1,2024-06-05 18:30:00,4750,47500
81,2,7,2024-06-01 21:45:00,2700,27000
82,3,9,2024-06-10 20:00:00,3690,36900
83,2,4,2024-06-19 20:30:00,4640,46400
84,4,6,2024-06-08 19:15:00,3050,30500
85,1,10,2024-06-02 22:30:00,2890,28900
86,2,7,2024-06-15 19:45:00,1850,18500
87,1,10,2024-06-28 21:15:00,3450,34500
88,3,1,2024-06-06 19:30:00,2450,24500
89,3,10,2024-06-20 19:45:00,1950,19500
90,4,4,2024-06-12 21:15:00,3850,38500
91,3,1,2024-06-23 18:30:00,4750,47500
92,2,7,2024-06-09 21:45:00,2700,27000
93,3,9,2024-06-27 20:00:00,3690,36900
94,2,4,2024-06-03 20:30:00,4640,46400
